class,conversation
일반,너 얼마 전에 수족관 다녀왔다며? 어땠어? 응 정말 멋졌어 특히 거대한 고래상어를 본 게 인상적이었어 고래상어? 그게 뭐야? 세계에서 가장 큰 물고기래 상어지만 플랑크톤 같은 작은 생물만 먹는대 와 신기하다 그런데 바다 생물들이 플라스틱 때문에 고통받고 있대 그렇구나 우리가 일상에서 할 수 있는 노력이 있을까? 음 일회용품 줄이고 분리수거 잘하는 것부터 시작하면 어떨까
일반,이번 주말에 같이 플로깅 할래? 플로깅? 그게 뭔데? 조깅하면서 쓰레기 줍는 거야. 오 신선하다. 어디서 해? 한강공원에서 하는데 같이 갈래? 좋아 재밌겠다. 운동도 하고 환경도 지키고. 맞아 일석이조지. 장갑이랑 봉투는 준비해야 하나? 행사에서 나눠준대. 좋아 기대된다. 의미 있는 주말 보내겠어.
일반,오늘 너무 습하지 않아? 응 머리도 떡지고 옷도 찝찝해 그러게 요즘 장마철이라 그런가 봐 맞아 계속 비 오고 습해서 빨래도 잘 안 마른다 나도 방에 제습기 돌리고 있어 그래도 장마 지나면 시원해지겠지? 응 그때까지 잘 버티자
일반,이번에 우리 아파트 미니 태양광 설치한다는데 들었어? 응 들었어. 너는 어떻게 생각해? 나는 찬성이야. 에너지도 아낄 수 있고 환경에도 좋잖아. 그렇긴 한데 설치비용이 좀 부담되지 않을까? 그래도 정부랑 지자체에서 지원금 준다고 하더라고. 아 그래? 그럼 괜찮겠다. 우리도 한번 설치해볼까?
일반,요즘 폭염이 심해서 힘들어 그러게 말이야 에어컨 없인 못 살겠어 근데 에어컨 많이 쓰면 전기세도 많이 나오고 환경에도 안 좋잖아 맞아 그래서 나는 최근에 그린 커튼을 설치했어 오 그게 뭔데? 식물로 창문을 가리는 건데 실내 온도를 낮추는 데 도움이 된대
일반,너 토양 오염 들어봤어? 응 중금속이나 농약 때문에 생기는 거 아냐? 맞아. 우리 학교 앞에서 발견됐대. 진짜? 어떻게 알았어? 구청에서 조사했대. 그럼 어떡해? 정화 작업 한대. 미생물 활용한다고 하더라. 오 신기하다. 얼마나 걸리대? 1년 정도? 빨리 끝났으면 좋겠다.
일반,햄스터 좋아해? 응 완전 귀여워. 나 얼마 전에 햄스터 샀어. 진짜? 어떤 종류야? 드워프 햄스터야. 작고 귀여워. 아 그 종류 유명하지. 케이지는 어떤 걸로 샀어? 큰 거로 샀어. 햄스터가 뛰어놀 공간 많이 필요하대. 현명한 선택이네. 쳇바퀴도 있어? 응 있지. 밤에 쳇바퀴 도는 소리 들으면 재밌어. 귀엽겠다. 나도 키워볼까?
일반,여보 뉴스 봤어? 사막화가 심각해지고 있대. 정말? 어느 지역이 제일 심하대? 아프리카 사헬 지역이래. 가뭄이랑 과도한 방목 때문이래. 그렇구나. 우리나라는 괜찮대? 아직은 괜찮다는데 미세먼지가 토양 사막화에 영향을 준대. 아 그렇구나. 나무 많이 심어야겠다.
일반,과장님 이번에 회사에서 추진하는 탄소 중립 프로젝트에 대해 어떻게 생각하세요? 좋은 시도라고 봅니다 우리 회사의 이미지 개선에도 도움이 될 거 같아요 저도 그렇게 생각해요 특히 탄소 포집 기술 도입이 기대돼요 맞아요 그 기술이 실용화되면 정말 획기적일 것 같아요 우리 팀에서도 적극적으로 참여해봐요 네 알겠습니다 관련 아이디어 회의를 한번 해보는 게 어떨까요? 좋은 생각입니다 다음 주 월요일에 회의 잡아볼게요
일반,여보세요? 네 과장님. 이번 출장지 지질 자료 좀 정리해줘. 네 어느 지역인가요? 강원도 철원이야. 현무암 지대잖아. 네 용암 대지로 유명하죠. 토양 특성도 조사해줘. 농업에 어떤 영향을 주는지. 네 알겠습니다. 언제까지 필요하세요? 다음 주 월요일까지. 네 알겠습니다 과장님.
일반,요즘 자주 운동하니? 응 산책하면서 자연을 느끼려고 노력하고 있어 좋다! 자연 속에서 운동하면 기분 전환에도 정말 좋아 맞아! 특히 숲속에서 걷는 건 스트레스 해소에도 큰 도움이 돼 그리고 나무들이 주는 그늘 덕분에 더 시원하게 운동할 수 있어 그치? 여름에는 시원한 그늘 아래에서 쉬기도 좋고
일반,너 거북이 키운다며? 응 집에서 육지거북이 키워. 오 특이한데. 어떤 점이 좋아? 조용하고 느긋해서 좋아. 스트레스 풀리는 느낌이야. 그렇구나. 크기는 어느 정도야? 손바닥만 해. 아직 어려서 작아. 귀엽겠다. 먹이는 뭘 줘? 주로 채소랑 과일 줘. 가끔 거북이 전용 사료도 주고. 관리하기 어렵진 않아? 아니 의외로 쉬워. 그냥 규칙적으로 먹이 주고 청소해주면 돼.
일반,여보세요 네 ○○수족관입니다 안녕하세요 거기 해양 생태계 교육 프로그램 있나요 네 매주 토요일에 진행하고 있습니다 아 그렇군요 초등학생 단체로 가도 될까요 네 가능합니다 몇 명 정도세요 20명 정도 될 것 같아요 알겠습니다 단체 할인도 가능하니 예약해드릴까요 네 좋습니다 다음 달 첫째 주 토요일로 해주세요 네 예약 완료되었습니다 감사합니다
일반,이번 주말에 로컬 푸드 마켓 간다는데 같이 갈래? 로컬 푸드? 그게 뭔데? 지역에서 생산된 농산물을 직거래로 파는 거야 아 그렇구나 왜 가려고? 신선하고 환경에도 좋다고 하더라고 그래? 농부님들한테도 도움 되겠다 맞아 우리 농산물도 사고 건강해지고 일석이조지 좋아 나도 가볼게
일반,플라스틱 빨대 대신 종이 빨대 써봤어? 응! 근데 종이 빨대는 좀 흐물흐물해지더라. 맞아. 그래도 환경 생각하면 괜찮은 것 같아. 응. 요즘 텀블러도 챙기려고 노력 중이야. 작은 습관이 모이면 큰 변화가 되니까!
일반,이번 주말에 등산 갈래? 어디로 갈 생각이야? 설악산 어때? 좋지. 거기 화강암 절벽 멋있더라. 응 빙하 지형도 볼 수 있대. 와 재밌겠다. 근데 날씨는 어때? 맑대. 단풍도 절정이래. 좋다. 꼭 가자. 응 사진 많이 찍어야지.
일반,요즘 자전거 타고 다닌다며? 응 출퇴근할 때 자주 타. 좋아? 응 운동도 되고 환경에도 좋고. 멋지다! 나도 해볼까? 한번 해봐. 처음엔 힘들어도 익숙해지면 좋아. 근데 안전은 괜찮아? 헬멧 쓰고 조심히 타. 자전거 도로도 많이 생겼어. 그렇구나. 나도 중고 자전거부터 시작해볼까? 좋은 생각이야. 건강에도 환경에도 좋을 거야.
일반,너 강아지 좋아하지? 응 완전 좋아해. 나 이번에 강아지 입양하려고. 오 진짜? 어떤 종류로 생각 중이야? 골든리트리버나 비글 중에 고민 중이야. 둘 다 좋은 선택인데! 골든리트리버는 온순하고 비글은 활발하대. 그렇구나. 근데 둘 다 털 관리가 좀 필요하지 않아? 맞아 그건 좀 신경 써야 해. 그래도 귀여우니까 괜찮아!
일반,여보 우리 집에 지열 냉난방 시스템 설치하는 거 어때요? 지열? 그게 뭐예요? 땅속 열을 이용해서 냉난방하는 시스템이에요 환경에도 좋고 에너지도 절약할 수 있대요 아 그렇군요 근데 설치비용이 많이 들지 않을까요? 네 초기 비용은 좀 들지만 장기적으로 보면 이득이래요 흠 한번 전문가한테 문의해보는 게 어떨까요? 좋아요 내일 업체에 연락해볼게요
일반,여보 우리 아이 물 절약하는 습관 들이는 게 좋을 것 같아요 맞아요 요즘 물 부족 문제가 심각하더라고요 어떻게 하면 좋을까요 양치할 때 컵 사용하기나 샤워 시간 줄이기 같은 걸 가르쳐주면 어떨까요 좋은 생각이에요 우리도 함께 실천하면서 본보기가 되어야겠어요 그래요 작은 습관이 큰 변화를 만들 수 있을 거예요
일반,오늘 하늘 완전 흐려 그러게 비 올 것 같은데 응 우산 가져왔어? 아니 깜빡했어 나도 안 가져왔는데 어떡하지 같이 편의점 가서 하나 사자 그래야겠다 요즘 날씨가 예측하기 어려워서 항상 우산 챙기는 게 좋겠어 맞아 특히 봄에는 갑자기 비 오는 날이 많잖아
일반,어제 뉴스 봤어 북극곰이 멸종 위기래 진짜 기후 변화 때문에 그런 거 아냐 맞아 북극의 얼음이 녹으면서 서식지가 줄어들고 있대 너무 안타깝다 우리가 뭘 할 수 있을까 음 일단 탄소 배출을 줄이는 게 중요할 것 같아 그렇지 대중교통 이용하고 육식을 줄이는 것도 도움이 될 거야 맞아 작은 실천이 모여 큰 변화를 만들 수 있을 거야 그래 우리부터 시작해보자
일반,너 이번에 나온 수소차 어때? 괜찮더라 연비도 좋고 환경에도 좋잖아 근데 충전소가 많이 없어서 불편하지 않아? 아직은 좀 그렇지 하지만 점점 늘어나고 있어 그래? 나도 다음 차는 친환경 차량으로 바꿔볼까 고민 중이야 추천해 보통 사람들은 전기차를 많이 선택하더라 음 나도 한번 알아봐야겠다 고마워
일반,"멸종 위기 동물 보호에 관심 있어? 응. 특히 호랑이나 코끼리 같은 동물들. 맞아. 불법 밀렵도 문제고, 서식지도 점점 줄어든대. 우리도 관련 단체 후원이나 봉사활동 한 번 해볼까? 좋은 생각이야!"
일반,"최근에 미세먼지가 많아서 걱정이야. 그러니까, 하늘이 뿌옇더라. 그래서 실내 공기 정화 식물 키우려고 해. 어떤 거? 스투키랑 산세베리아가 공기 정화에 좋대. 오, 관리 어렵지 않아? 물 자주 안 줘도 돼서 키우기 쉬워. 나도 하나 사볼까? 추천해 줄게!"
일반,최근에 기후 변화 때문에 이상 기후가 자주 발생하는 것 같아 응 정말 심각해져 가는 것 같아 특히 여름에는 폭염 경고가 자주 나오잖아 맞아 그래서 에너지 소비가 늘어나서 전기세 걱정도 되더라 우리 집에서도 에너지 절약하는 방법 찾아봐야겠다 좋은 생각이야 LED 조명으로 바꾸거나 전자제품 사용 줄이는 것도 도움이 될 거야
일반,"요즘 미세먼지 너무 심하지 않냐? 맞아, 아침마다 목이 칼칼해. 근데 나 공기정화식물 하나 키우기 시작했어. 오! 효과 있어? 확실한 건 모르겠는데, 그래도 초록색 보면 기분은 좋더라. 나도 사볼까? 추천해줘. 스투키나 산세베리아 같은 게 관리도 쉽고 좋대. 오케이! 이번 주말에 화원 가서 같이 보자."
일반,"요즘 미세먼지가 너무 심하지 않아? 맞아, 나도 아침에 목이 따끔거리더라. 그래서 나 공기청정기 새로 샀어. 효과 있던데? 응, 그래도 창문 자주 열어 환기하는 게 제일 좋대. 근데 환기하면 또 미세먼지 들어오잖아. 그치, 그래서 공기청정기랑 같이 쓰는 게 좋을 것 같아. 그러네. 나도 하나 알아봐야겠다."
일반,낙엽 쌓인 길 걷는 거 진짜 기분 좋지 않아? 응! 바스락거리는 소리도 너무 좋아. 근데 낙엽이 자연 분해되는 과정도 중요하대. 맞아. 그래서 일부러 안 치우는 곳도 있대.
일반,여보세요 네 안녕하세요 ○○수질환경연구소입니다 아 네 안녕하세요 저희 동네 약수터 수질검사 좀 해주실 수 있나요 네 가능합니다 언제가 편하세요 다음 주 화요일은 어떠세요 네 좋습니다 오전 10시에 방문드리겠습니다 알겠습니다 혹시 준비해야 할 건 있나요 특별히 준비하실 건 없고 약수터 위치만 알려주시면 됩니다 네 알겠습니다 감사합니다
일반,요즘 기후변화 때문에 날씨가 많이 이상하지 않아? 맞아 여름은 너무 덥고 겨울은 너무 추워. 태풍이나 홍수도 자주 생기고. 우리가 뭘 할 수 있을까? 에너지 절약하고 쓰레기 줄이는 거? 맞아 대중교통 이용하는 것도 좋대. 채식을 늘리는 것도 도움된대. 우리 함께 노력해보자. 각자 할 수 있는 만큼 해보는 거야. 지구를 위해 함께 노력하자.
일반,"야, 길에서 아기 고양이 봤는데 너무 귀엽더라. 오 진짜? 근데 엄마 고양이는 없었어? 없더라고. 혹시 유기묘인가 싶어서 걱정됐어. 그럼 임시 보호할 수 있는 사람 찾거나 동물보호소에 연락해봐야겠다. 맞아. 무책임하게 데려갔다가 감당 못 하면 더 힘들어지니까. 진짜 반려동물 키우는 것도 책임감 없으면 하면 안 되는 거 같아. 응. 그래서 키우기 전에 신중하게 생각해야 해. 요즘 유기동물 너무 많아서 마음이 아프다."
일반,너 요새 텀블러 들고 다니더라 응 일회용품 줄이려고 노력 중이야 좋은데 나도 해볼까 근데 귀찮을 것 같아서 망설여지네 처음엔 그랬는데 습관되니까 괜찮아 게다가 카페에서 할인도 해주고 그래 오 그런 혜택도 있어 그럼 나도 내일부터 해봐야겠다 좋아 함께하자 지구를 위해 파이팅
일반,언니 요즘 집에서 전기세 아끼는 팁 있어? 응 LED 전구로 다 바꾸고 대기전력 차단하는 멀티탭 썼더니 많이 줄더라 오 그렇구나 나도 해봐야겠다 또 다른 방법은? 세탁기는 찬물로 빨고 식기세척기는 가득 찰 때만 돌려 그것도 좋은 방법이네 고마워 당장 실천해봐야겠어 응 작은 습관이 큰 변화를 만들 수 있어
일반,"비 오는 날 우산 없이 걸어본 적 있어? 어, 한 번! 근데 신발 다 젖어서 힘들더라. 그래도 공기 맑아지는 느낌은 좋지 않아? 응, 가끔은 자연을 그대로 느껴보는 것도 좋은 것 같아."
일반,여보세요 네 안녕하세요 환경교육센터입니다 안녕하세요 초등학생 대상 환경 캠프 문의 드리려고요 네 어떤 점이 궁금하세요 언제 열리고 어떤 활동을 하는지 알고 싶어요 이번 달 말에 2박 3일로 진행되고 숲 체험 재활용 공예 등 다양한 활동이 있어요 재미있겠네요 참가 비용은 얼마인가요 1인당 15만원입니다 숙식과 교통편 모두 포함이에요 알겠습니다 신청은 어떻게 하나요 홈페이지에서 온라인으로 신청 가능합니다 네 감사합니다 좋은 하루 되세요
일반,토양 침식 심각하대. 어디? 강원도 산간 지역이. 왜 그렇대? 집중 호우랑 산불 때문이래. 그렇구나. 복구는 어떻게 한대? 사방댐 만들고 나무 심는대. 오래 걸리겠다. 응 생태계 회복에 시간이 필요하지. 우리도 나무 심기 봉사 갈까? 좋아 다음 달에 가자.
일반,민수야 우리 학교에서 하는 재활용 캠페인 알아? 응 들어봤어 뭔가 특별한 거라도 있어? うん 이번에 플라스틱 뚜껑 모으기 행사 한대 그거 어디에 쓰는 건데? 휠체어로 바꿔준대 대박 의미 있는 일이네 우리도 참여해볼까? 좋아 우리 반에서 제일 많이 모아보자
일반,여보 우리 집 단열 공사 해야 할 것 같아요 갑자기 왜요? 겨울에 난방비가 너무 많이 나와서요 음 그렇긴 했죠 견적은 얼마나 나왔어요? 생각보다 좀 나왔어요 하지만 장기적으로 보면 에너지 절약되니까 괜찮을 것 같아요 그렇군요 언제 하면 좋을까요? 다음 달에 하면 어떨까요? 날씨도 좋아질 테고 알겠어요 알아보고 결정해요
일반,"요즘 벌이 점점 줄어든대. 진짜? 벌이 없으면 과일도 못 먹는 거 아냐? 그렇지, 꽃가루받이를 벌이 해주니까. 그래서 도시에서도 꽃 심기 운동 많이 한대. 우리도 베란다에 꽃 심어볼까? 괜찮다! 작은 것부터 실천해보자."
일반,"비 온 뒤 무지개 본 적 있어? 어, 얼마 전에! 너무 예뻤어. 진짜 신기하지 않아? 응! 자연이 주는 작은 선물 같은 느낌이야."
일반,이번 주말에 환경 영화제 한다던데 같이 갈래? 환경 영화제? 어떤 영화들을 상영해? 기후변화나 생태계 보호에 관한 다큐멘터리 위주래 재밌을 것 같은데? 응 환경에 대해 더 배울 수 있는 기회가 될 것 같아 좋아 나도 가고 싶어 그럼 토요일 오후에 만나서 같이 가자 좋아 기대된다
일반,여보세요? 네 아빠. 뭐해? 방금 뉴스 보고 있었어. 무슨 뉴스? 호주 산불 소식. 심각하대. 얼마나? 토양이 다 타버려서 사막화될 수도 있대. 헐 그렇게 심해? 응 생태계 회복에 몇십 년은 걸릴 거래. 우리나라도 조심해야겠다. 맞아 산불 조심해야지.
일반,오빠 이번 주말에 뭐해 별 계획 없어 왜 바다 쓰레기 줍기 봉사활동 하는데 같이 갈래 좋아 어디서 하는데 ○○해수욕장에서 해 재미있겠다 준비물은 뭐가 필요해 장갑이랑 쓰레기봉투 챙기면 돼 모자랑 선크림도 잊지 마 알겠어 기대된다 우리가 조금이라도 바다를 깨끗하게 만들 수 있을 거야
일반,이번 주말에 등산 갈래? 좋아! 어디로 갈까? 북한산 어때? 거기 요즘 사람 많다던데. 그럼 덜 알려진 산으로 가자. 좋아 그럼 청계산은? 오 괜찮은데? 거기 생태공원도 있잖아. 맞아 자연도 즐기고 운동도 하고. 쓰레기 봉투랑 장갑도 가져가자. 왜? 등산하면서 쓰레기도 줍자고. 오 좋은 생각이야! 건강도 챙기고 환경도 지키고.
일반,여보세요 네 기후변화행동연구소입니다 안녕하세요 기후변화 관련 강연 문의 드립니다 네 어떤 주제의 강연을 원하시나요 기후변화가 일상에 미치는 영향에 대해 알고 싶어요 네 저희가 딱 그런 주제로 강연 프로그램이 있습니다 대상과 인원은 어떻게 되나요 대학생 100명 정도 예상하고 있어요 알겠습니다 날짜는 언제로 생각하세요 다음 달 15일이 어떨까요 네 가능합니다 강연료는 30만원입니다 알겠습니다 그럼 진행하도록 할게요
일반,얼마 전에 탄소 발자국 계산해봤어? 아니 그게 뭔데? 일상생활에서 발생시키는 이산화탄소량을 계산하는 거야 아 그렇구나 어떻게 계산해? 인터넷에 계산기가 있어 한번 해보면 좋을 것 같아 그래 나도 한번 해봐야겠다
일반,여보세요? 네 맞아요 저 얼마 전에 뉴스 봤는데 북극여우가 멸종 위기래요 정말요? 북극여우가 왜 멸종 위기에 처한 거죠? 기후 변화로 서식지가 줄어들고 먹이를 구하기 힘들어졌대요 안타깝네요 북극여우는 생태계에서 어떤 역할을 하나요? 작은 동물들의 개체 수를 조절하고 생태계 균형을 유지하는 데 중요한 역할을 한대요 그렇군요 우리가 도울 방법은 없을까요? 기후 변화에 대응하는 생활 습관을 들이는 게 도움이 될 거예요 알겠어요 에너지 절약이랑 재활용에 더 신경 써야겠어요
일반,여보세요 환경부 민원실입니다 무엇을 도와드릴까요? 안녕하세요 탄소중립 정책에 대해 궁금한 게 있어서요 네 어떤 점이 궁금하신가요? 2050년까지 탄소중립을 달성하려면 구체적으로 어떤 노력들이 필요한가요? 재생에너지 확대 에너지 효율 개선 탄소 흡수원 확충 등 다양한 정책이 추진되고 있습니다 시민들은 어떤 노력을 할 수 있을까요? 일상에서의 에너지 절약 친환경 제품 사용 등이 있습니다 자세한 내용은 저희 홈페이지에서 확인하실 수 있어요 네 알겠습니다 많은 도움이 되었어요 감사합니다
일반,과장님 이번 주말에 회사 단합대회로 한강 둔치 정화활동 어떠세요 좋은 아이디어네요 직원들 환경의식도 높이고 팀워크도 다질 수 있겠어요 네 맞아요 쓰레기도 줍고 잔디밭에서 도시락도 먹고 오면 좋을 것 같아요 그래요 준비는 어떻게 할까요 장갑이랑 쓰레기봉투 준비하고 간식거리도 좀 사면 될 것 같아요 알겠습니다 다들 좋아할 거예요
일반,지난번에 환경 다큐멘터리 봤어? 어떤 거? 플라스틱 쓰레기로 인한 해양 오염에 대한 거 아 나도 봤어 충격적이더라 그러게 말이야 우리도 일회용품 줄이고 분리수거 열심히 해야겠어
일반,공원에서 다친 새 발견하면 어떻게 해야 돼? 음… 바로 만지지 말고 조심해야 할 것 같아. 맞아. 보호소에 연락해서 조치 받는 게 좋대. 그렇구나. 다음에 그런 상황 있으면 바로 연락해야겠다.
일반,여보세요? 네 맞습니다 제가 방금 귀뚜라미 소리를 들었는데 혹시 집에 들어온 건 아닐까요? 아 귀뚜라미요? 걱정 마세요 가을이라 밖에서 우는 소리일 거예요 그런가요? 전 벌레가 좀 무서워서요 귀뚜라미는 해충이 아니에요 오히려 생태계에 이로운 곤충이죠 아 그렇군요 어떤 점에서 이로운가요? 다른 해충을 잡아먹기도 하고 자연의 분해자 역할도 한답니다 몰랐네요 앞으로 귀뚜라미 소리를 들으면 달리 생각해볼게요
일반,"요즘 캠핑 인기 많잖아. 너도 해봤어? 응, 지난번에 갔다 왔는데, 사람들이 쓰레기를 너무 아무데나 버리더라. 진짜? 자연 속에서 즐기려면 깨끗이 해야지. 맞아. 우리 가족은 항상 쓰레기 봉투 챙겨가서 주워오거든. 멋지다! 나도 다음엔 꼭 그렇게 해야겠어. 그래! 자연을 사랑하는 캠퍼가 되자."
일반,"분리수거 제대로 하고 있어? 응, 요즘 플라스틱 줄이려고 노력 중이야. 나도 텀블러 들고 다니려고 해. 일회용 컵 너무 많이 쓰잖아. 맞아, 카페에서도 다회용 컵 사용하면 할인해주던데. 그래? 그럼 앞으로 텀블러 챙겨야겠다. 좋은 습관이지. 환경을 위해서라도 작은 것부터 실천해야 해."
일반,"요즘 식물 키우는 거 힐링 된다더라. 맞아. 식물 키우면 공기도 좋아지고 기분도 좋아지잖아. 그럼 나도 하나 사볼까? 어떤 게 초보자한테 쉬울까? 스투키나 산세베리아 같은 게 물을 자주 안 줘도 돼서 좋아. 오, 그럼 나도 한번 키워봐야겠다. 집 분위기도 좋아지고 공기 정화도 된다니까 좋을 거야. 괜찮네. 그럼 이번 주말에 화분 사러 가자! 좋아! 같이 가자!"
일반,너 요즘 도시에 사는 동물들 많이 봤어? 그러게 길고양이랑 비둘기 말고도 많더라 맞아 얼마 전엔 다람쥐도 봤어 도시에 이렇게 다양한 동물들이 사는 줄 몰랐네 근데 도시 환경이 동물들한테 안전할까? 그러게 차도 많고 먹이를 구하기도 쉽지 않을 것 같아 우리가 할 수 있는 일이 있을까? 음 쓰레기 잘 처리하고 동물들을 함부로 대하지 않는 거? 그것부터 시작해보자 동물들도 우리와 함께 살아갈 권리가 있으니까
일반,너무 더운 날에는 어떻게 지내? 에어컨 틀고 있어 하지만 전기세가 걱정돼서 선풍기로 바꿔볼까 고민 중이야. 그럴 때는 시원한 음료수 마시는 것도 방법이지! 아이스티나 과일 주스 같은 거? 맞아! 그리고 물 많이 마시는 것도 잊지 말고!
일반,요즘 식물 키우는 게 유행인 것 같아 나도 몇 개 키우고 있어 아 진짜? 어떤 식물 키워? 나는 몬스테라랑 스파티필룸 키워 그거 진짜 예쁘지! 그리고 공기 정화에도 좋대 응 그래서 더 키우고 싶어져 요즘은 허브 식물도 많이 키우더라 나도 바질이나 로즈마리 같은 허브 키워볼까 생각 중이야 좋겠다! 요리할 때 신선한 허브 쓰면 맛있겠네
일반,여보세요 김 과장님 네 이 부장님 무슨 일이세요? 다음 주 출장 갈 때 카풀 어떠세요? 좋은 생각이네요 어떻게 하면 될까요? 제가 운전하고 가는 길에 과장님 댁 들릴게요 네 좋습니다 출발 시간은 언제쯤으로 할까요? 아침 7시 어떠세요? 차도 덜 막히고 연료도 절약되고 좋겠어요 알겠습니다 감사합니다
일반,"너네 최근에 제주도 갔다 왔다며? 어, 맞아! 근데 바닷가에 쓰레기가 너무 많아서 충격 받았어. 진짜? 관광객들이 버리고 가는 건가? 그런 것도 있고, 바다에서 밀려온 쓰레기도 많더라. 그래서 우리 즉석에서 비닐봉투 사서 청소했어. 대박! 진짜 멋지다. 우리도 다음에 여행 가면 그런 활동 해보자. 그래! 우리 작은 행동이 환경 보호에 도움될 수도 있잖아."
