conversation,class
성가신 만성질환에 일해야 하니 걱정이다. 몸이 안 좋은데 일해야 해서 힘드시겠어요. 여러 가지 생각에 성가시긴 하지만 노력해야겠다. 머리가 복잡하시겠네요. 부디 더 악화하지 않길 기도할게요.,일반
노여워하는 너무 화나. 아내가 작년에 녹용을 사놓고는 안 먹고 다른 사람도 안주고 냉동실에 처박아두더라? 아내 분 때문에 많이 화가 나셨겠어요. 나도 안주면서 계속 냉동실에 두는 이유가 뭐지? 이 상황을 해결하기 위해서 시도해 볼 방법이 있을까요? 아내한테 말해봐야겠어.,일반
남의 시선을 의식하는 상사에게 혼이 나고 있는데 싫어하는 동기가 와서 시선을 돌렸어. 안 좋은 상황에 싫어하는 동기가 왔군요. 기분이 어떠셨나요? 너무 쪽 팔리고 쥐구멍에 숨어버리고 싶은 기분이었어. 이 기분을 바꾸기 위해선 무엇을 하면 좋을까요? 회사가 끝나고 집에 가서 편하게 쉬어야겠어.,일반
환멸을 느끼는 과제는 제대로 참여도 안 해놓고 점수만 잘 받아 간 동기 때문에 너무 짜증 나. 일을 제대로 안하고 점수만 잘 받아 간 동기 때문에 기분이 상하셨군요. 이러면 열심히 한 사람들만 바보 되는 거잖아. 어떻게 하면 화가 나는 마음을 가라앉힐 수 있을까요? 조별 과제 참여도를 자체적으로 평가하게끔 해달라고 교수님께 건의해 볼까 봐.,일반
조심스러운 최근 남편이 나한테 무관심해졌어. 나이를 먹어가면서 주름도 늘고 칙칙해져서 그런가 봐. 남편분과의 관계가 원활하지 않아 마음이 아프시군요. 데이트하던 때와 같이 예쁘게 꾸미는 것에 이제는 흥미가 없어. 그래서 남편이 소원해졌나 봐. 남편과의 관계를 회복하기 위해선 어떻게 해야 할까요? 내가 좀 더 노력해야 할 것 같긴 해. 당장 화장품부터 사러 나가야겠어.,일반
후회되는 기분이 나빠도 그냥 넘어간 내가 바보 같아서 슬퍼. 그냥 넘어간 사실이 바보같이 느껴져서 슬프셨군요. 관계를 망칠까 봐 여태 그냥 넘어갔는데 어제는 내 기분을 표현하지 못한 게 너무나 후회가 돼. 솔직히 기분을 표현하지 못해 후회가 되셨군요. 지금의 기분에서 벗어나기 위해 무언가 할 수 있는 것이 있을까요? 나가서 친구와 다시 대화 좀 해야겠어.,일반
질투하는 취업이 안 돼서 스트레스야. 요즘 다들 스펙이 너무 좋아서 힘들어. 취업에 안 돼서 스트레스를 받으시는군요. 내가 열심히 준비하지 않았던 건지 의심까지 들어. 언제까지 이래야 할까? 이 기분에서 나아지기 위해서는 어떤 일을 할 수 있을까요? 하루쯤은 취업이나 걱정은 다 잊고 편하게 쉬어야겠어. 재충전해야지.,일반
고립된 두문불출하던 친구의 전화를 받았어.　 어떤 이유로 친구분께 전화가 왔는지 말씀해 주실 수 있으신가요? 믿던 친구에게 큰돈을 빌려주고는 받지 못한 모양이야.　 친구분이 큰돈을 빌려주고 못 받고 있으시군요. 이사할 집의 잔금이라 액수가 크고 믿었던 친구에게 배신당했다는 생각에 괴로운가 봐. 해결이 잘 나야 할 텐데 친구 남편이 알면 큰일이야.　,일반
조심스러운 몸이 아픈데도 가족들이 도와주지 않아서 스트레스를 받아. 가정생활과 관련해서 스트레스가 많으시군요. 모든 것에 흥미가 없고 실천하기가 어려워. 이런 감정을 해결하기 위해서는 무엇을 해야 할까요? 내가 좋아하는 것을 찾아서 취미를 만들 거야.,일반
짜증내는 엄마는 전교 이등이 쉬운 줄 아나 봐. 이등 밖에 못한다는 소리를 듣고 많이 속상했나 봐요. 기운이 빠지지 공부 진짜 열심히 했는데. 나의 기분이 좋아지려면 어떻게 해야 할까요? 일단 시험 때문에 못한 게임 좀 하고 엄마한테 전교 일등이 중요한 거냐고 물어봐야겠어.,일반
억울한 오늘 사장님이 자기 딸이 취업할 나이라 내 자리에 대신 나오게 됐다는 거야. 이번 달까지만 일하고 그만둬야겠다고 하는데 너무 억울해. 직장을 잃게 되셨군요. 혹시 다시 취업할 방법이 있을까요? 내 사정을 친구에게 이야기하니 친구 직장에서 마침 사람을 구한대. 그래서 내일 연락해볼 예정이야. 새로운 직장에 들어갈 기회가 생겼군요. ,일반
죄책감의 동호회 회원 한 명이 이번에 탈퇴하겠데. 내가 지각하지 말라고 했었는데 그것 때문에 그런 거 같아 신경이 쓰여. 동호회 회원의 탈퇴가 본인 탓이라는 생각으로 신경 쓰이시는군요. 그런 거 아니면 그 사람이 탈퇴할 이유가 없는 거 같거든. 괜히 뭐라 한 거 같아 죄책감이 드네. 죄책감으로 고민이 많으시군요. 고민을 해결하기 위해 어떻게 하는 것이 좋을까요?,일반
조심스러운 아들한테 이번에도 병원비 좀 빌려줄 수 있는지 물어봤는데 눈치가 보여. 아들에게 부탁을 했는데 마음이 편하지 않군요. 내가 만성질환이 있어서 몇 년 째 계속 병원비가 들어가고 있거든. 아들에게 미안해. 어떻게 하면 아들에 대한 미안한 마음을 덜 수 있을까요? 아들이랑 밥 한 끼 먹으면서 고마운 마음을 전해야겠어.,일반
"가난한, 불우한 요즘 건강한 삶을 위해 새로운 도전을 해보려 하는데 돈이 없어서 헬스클럽에 등록할 수가 없네. 건강한 삶을 위해 운동을 시작하려고 하시는군요. 헬스클럽 등록 외의 방법은 없을까요? 매스미디어에서는 헬스클럽을 많이 홍보하지만 사실 웨이트는 맨몸으로도 할 수 있어. 맨몸으로도 운동을 할 수 있군요. 응. 집에서 동영상을 보고 따라하기로 결정했어.",일반
방어적인 젊은 시절에 제대로 된 교육을 못 받아서 아직도 글자를 잘 몰라. 글자를 잘 모르셔서 많이 어려우시겠어요. 내 친구는 손자에게 글자도 가르쳐주는데 이런 내가 한심해. 앞으로 어떤 행동들을 할 수 있을까요? 지금이라도 학교에 다시 다녀야겠어.,일반
혼란스러운 아무 생각 없이 아이 방에 들어갔는데 아들이 노크도 없이 들어왔다며 불같이 화를 내서 당황스럽네. 아이가 화를 내서 마음이 아프시군요. 자신의 방은 개인의 공간이라고 생각해서 누군가 들어올 때는 자신의 허락을 받아야 한다고 생각하나 봐. 아이가 자신만의 공간을 침해받았다고 생각해서 화를 냈다고 생각하시는군요. 그런 것 같아. 앞으로는 아이의 방에 들어갈 때 노크를 하고 물어보고 들어가야겠어.,일반
편안한 나이가 많이 먹다 보니 병원을 자주 가는데 갈 때마다 며느리가 항상 데려다 주니 편하고 고마워. 며느리 분이 항상 데려다 주시니 편하시겠어요. 며느리가 나에게 잘해주는 만큼 나도 며느리에게 잘해주고 싶어. 며느리 분에게 잘해줄 수 있는 어떤 방법이 있을까요? 나도 며느리에게 감사표시를 하고 더 잘해주어야겠어.,일반
고립된 내가 학교 수업을 잘 못 따라가서 부모님이 싸우시는 것 같아. 매일 벌 받는 거 같아. 부모님이 서로 싸우시는 것 때문에 죄책감을 느끼시고 있군요. 안 그래도 부모님이 학원까지 보내주시는데 내가 모자란 것 같아. 부모님께서 학원도 보내주셨는데 수업을 못 따라가서 힘들군요. 앞으로 어떻게 하는 게 좋을까요? 부모님께 수업을 따라가기 위한 조언을 들어보고 싶어.,일반
혼란스러운 몇 시간 동안 연락이 안 된 여자 친구한테 순간 너무 화가 나서 심하게 화내버렸어. 여자 친구가 연락이 안 돼서 많이 화나셨군요. 그래도 그렇게까지 화내서는 안 됐는데 순간적으로 조절을 못 한 게 너무 후회돼. 여자 친구에게 화낸 게 후회되시는군요. 어떻게 하면 좋을까요? 내가 화나는 걸 잘 조절 못 한다고 솔직하게 말하고 용서를 빌어야겠어.,일반
실망한 나이도 많고 여자라서 괜찮은 일을 구하기가 쉽지 않아. 너무 서러워. 일을 구하는 데 있어서 어려움이 있으시군요. 정말 힘드시겠어요. 경제적으로 너무 힘들어. 생계유지도 나에겐 너무 큰 부담이야. 이 상황을 어떻게 해결하면 좋을까요? 나와 같은 사람들에게 적용되는 복지 제도에 대해서 자세히 알아보아야겠어.,일반
감사하는 유학 가려고 원서를 준비하는데 감사하게도 교수님이 추천서를 써 주셨어! 교수님의 도움을 받았다니 무척 감사한 일이네요. 응. 교수님도 그 나라에서 공부하셔서 여러 정보도 많이 알려주셨어. 유익한 정보까지 알게 되었군요. 학교 다닐 때 교수님의 수업도 많은 도움이 되었어. 유학 가면 확실히 도움 될 거야.,일반
질투하는 부모님이 자꾸 우리 동생한테만 예쁜 강아지라고 불러. 나한테는 그러시지 않아서 너무 속상해. 부모님이 동생만 예쁜 강아지라고 불러서 속상하시겠어요. 그러지 않겠지만 부모님이 나를 안 좋아하시는 것처럼 느껴져. 내가 오해하고 있는 거겠지. 어떻게 해야 이런 마음을 낫게 할 수 있을까요? 부모님께 동생만 예쁜 강아지라고 부르는 게 너무 서운하다고 말씀 드려야겠어.,일반
낙담한 현실과 이상의 괴리에서 오는 우울증을 겪고 있는 내가 너무 안쓰러워. 이상과는 다른 현실 때문에 우울증을 겪고 계셔서 괴로우시군요. 상상 속의 나는 특별한 능력이 있는 사람인데 현실의 나는 아니라서 너무 슬퍼. 상상과는 다른 현실이 슬프시군요. 이 상황을 어떻게 극복하는 것이 좋을까요? 우울증 치료를 받고 상담을 받으면서 이 상황에서 벗어나도록 노력해볼 거야.,일반
걱정스러운 내년에도 자식들이 대학교 등록금이 인상된다고 하는데 걱정이 돼. 자식들의 대학교 등록금이 인상된다고 해서 걱정이 되시겠어요. 혼자 벌어서 지원해주려니 힘이 들어. 자식들과 진지하게 얘기해보려 해. 자식들과 얘기해볼 생각이시군요. 어떻게 해결하면 좋을까요? 나도 열심히 벌 테니 아이들도 공부를 열심히 해서 장학금을 탈 수 있었으면 좋겠다고 얘기해 보려 해.,일반
당황 어제 숙제 한 거 다 놓고 와서 어떻게 해야 할지 모르겠어. 숙제를 다 하고도 안 가져와서 정말 당황스럽겠네요. 성적에 반영되는 거라서 오늘 안 내면 큰일이야. 어떻게 하면 지금 상황이 나아질 수 있을까요? 잔소리는 조금 듣겠지만 엄마한테 가져다 달라고 해야겠어.,일반
비통한 계속 앓아오던 병으로 최근 건강이 확 안 좋아졌어. 난 정말 불행해. 만성질환으로 건강이 악화되어 몸도 마음도 아주 힘드시겠어요. 몸도 아프고 생활에 제한이 생기고 기분도 처지고 너무 힘들어. 건강이 악화되고 여러모로 많이 힘드시군요. 현재 상황이 나아질 방법이 있을까요? 이제부터라도 의사의 지시대로 운동도 하고 식이 조절도 하는 등 건강관리를 열심히 해야겠어.,일반
남의 시선을 의식하는 아내와 소리 지르며 싸우는데 아이들이 깨서 방에서 나오는데 어떻게 생각할까 싶어 참았어. 부모의 싸움을 보고 아이들이 어떻게 생각할지가 신경이 쓰이겠어요. 아이들에게 싸움을 보여주는 건 좋지 않은 것 같은데 신경 쓰이네. 이런 상황에서는 어떻게 아이들에게 대응을 해주는 게 좋을까요? 모르겠어. 싸우지 않는 게 가장 좋을 텐데 말이야.,일반
조심스러운 우리 반의 분위기가 계속 험악하게 가면 학업에도 지장을 줄 수 있으니 불안해. 당분간 친구들에게 칭찬을 많이 해주어야겠어. 학업분위기에 신경 쓰시느라 불안하실 것 같아요. 맞아. 매번 수업시간이나 야자시간에 분위기를 흐리는 친구들이 있어서 매번 골머리를 앓게 돼. 그런 상황을 완화시키려면 어떤 방법이 좋을까요? 공부를 하는 분위기를 만들고 분위기를 흐리는 친구들한테 좋은 쪽으로 얘기를 많이 하려고 해.,일반
짜증내는 애인이 내 말 하나하나에 전부 간섭하고 구박하는 게 너무 짜증나 애인에게 구박받으면 정말 짜증나겠어요. 응. 한두 번 그러는 게 아니라 매번 그러면 나도 못 참겠어. 애인이 어떤 식으로 대해주길 원하나요? 그냥 내 말에 잘못된 것이 있더라도 친절하게 받아줬으면 좋겠어.,일반
우울한 부모님과 살아온 시대나 배경이 달라 대화가 통하지 않아서 답답해. 부모님과 대화가 잘 통하지 않아 답답하시군요. 매번 대화를 시도하지만 결국 안 좋게 끝나서 슬퍼. 예전에 이런 일이 있을 때 어떻게 대처하셨어요? 방에 들어가 가만히 있었어. 누가 내 맘 좀 알아주면 좋겠어.,일반
질투하는 친구와 같이 있을 때 가족들에게 항상 안부 전화가 오는 걸 보면 너무 부러우면서 질투가 나. 항상 안부 전화 오는 친구에게 부러움을 느끼셨군요. 우리 가족은 무뚝뚝한 편이라 안부 전화를 잘 안해. 어떻게 하면 안부 전화를 잘 오게 할 수 있을까요? 내가 먼저 가족들에게 연락하는 게 맞는 것 같아.,일반
실망한 오늘 친구와 만나기로 약속했는데 아무리 기다려도 나오지 않네. 친구가 약속 시간에 나타나지 않아 실망이 크시겠어요. 카페에서 만나기로 했는데 나랑 한 약속을 까먹은 모양이야. 약속을 까먹으신 모양이군요. 어떻게 하고 싶으세요? 전화를 한번 해 봐야지.,일반
외로운 이번 시험도 망쳐서 부모님께 너무 죄송하고 우울해. 시험을 망쳐서 우울하시군요. 이렇게 노력해도 안 되는 내가 너무 보잘것없는 것 같아. 부정적인 생각을 덜 수 있게 어떻게 하는 것이 좋을까요? 부모님껜 너무 죄송하지만 다음 시험에는 잘 칠 수 있도록 더 노력할래.,일반
툴툴대는 늙고 여자라서 주변 사람들에게 학대받는 느낌이야. 고령의 여성이라서 걱정이시군요. 저학력이라서 너무 불만이야. 저학력으로 실망스러우시군요. 고령이고 저학력이라서 나 자신이 너무 실망스러워.,일반
방어적인 쉬는 시간에 선생님 몰래 같은 반 애들이 친구를 때리는 걸 봐서 화가 났어. 선생님이 없을 때 친구가 맞는 걸 봤군요. 화가 났겠어요. 평소에 행실이 나쁜 애들이었지만 그래도 학우를 때릴 줄은 몰랐어. 같은 반 친구에게 폭력을 쓸 줄은 몰랐겠어요. 또 친구를 때리지 않게 하려면 어떻게 해야 할까요? 담임 선생님께 내가 본 걸 솔직하게 말씀드리면 도움이 될까?,일반
자신하는 돈은 내가 자신 있어. 돈에 자신이 있으신가요? 건물이 큰게 있어. 큰 건물을 소유하고 있어 재정적인 부분에 자신감이 있으시군요.,일반
초조한 은퇴했는데 모아둔 돈이 별로 없어서 어떻게 시간을 보내야 되는지 모르겠어. 은퇴 후 생활이 많이 걱정되기도 하고 고민도 되겠어요. 은퇴 후에도 할 수 있는 일자리를 찾아봐야 하는 걸까. 주식이나 펀드 같은 수익률을 될 수 있는 자산의 투자를 하고 있나요. 아직 하지 않고 있었어. 수익률을 기대할 수 있으니 한번 도전해볼까?,일반
조심스러운 우리 아이가 몸이 허약해서 항상 조마조마해. 아이 걱정 때문에 불안하시군요. 태어날 때부터 건강하지 못했거든. 어떻게 하면 조금이라도 나아질까요? 정기적으로 건강검진을 받도록 하고 영양제를 챙겨 먹이면 좋아질 거야.,일반
비통한 너무 비통해. 비통할 일이 있으셨나요? 노후자금을 다 잃었어. 노후자금을 다 잃어 비통한 심정이시군요.,일반
조심스러운 아르바이트생 중에서 나만 명문대 출신이라 눈치가 보여. 아르바이트생 중에 나만 명문대라 눈치가 보이시는군요. 그렇게 생각한 이유가 있을까요? 잡담을 하다 보면 학교 얘기를 하게 되는데 지방대 출신 동료가 열등감을 느끼는 것 같아.  지방대인 친구들이 열등감을 느끼는 것 같아 혼자 명문대 출신인것이 눈치보이는군요.,일반
느긋 나는 죽음 앞에서 두렵지 않아. 어떠한 철학이 그러한 생각을 들게끔 만들었나요? 인생은 지나가는 계절이라고 생각했기 때문이야. 인생에 대한 나의 철학으로 죽음이 두렵지 않으시군요.,일반
자신하는 퇴직을 하니깐 다시 일을 하고 싶어지네. 퇴직한 지 몇 년 되셨나요? 이년 정도? 그런데 난 다시 회사에 가서 일 잘할 자신이 있어. 회사 다니실 때 일을 잘 하셨나 봐요. 일을 잘하기도 하고 열심히 하기도 했어.,일반
회의적인 여태 직장에서 내가 해온 일들이 무슨 의미가 있나 싶으면서 회의감이 들어. 회사에서 회의감을 느끼시는데 왜 그런가요? 나보다 늦게 들어온 후배가 먼저 진급을 하는 것을 보니 이제 내가 나가야 하나 불안하기도 해. 지금의 상황을 변화시키기 위해 어떻게 하면 좋을까요? 사실 어딜 간다고 더 대우받기도 쉽지 않아. 여기서 더 책임감 있게 열심히 해보려고.,일반
버려진 우리 부모님은 동생만 칭찬해서 너무 서운해. 부모님께 서운하겠군요. 항상 동생만 아껴주시는 것 같아서 마음에 상처가 돼. 그런 행동에 상처를 받으시는군요. 그렇다면 앞으로 어떻게 하는 것이 좋을까요? 나에게는 칭찬을 해주시지 않아서 서운하다고 솔직하게 내 심정을 말해볼래.,일반
슬픔 항상 챙겨주던 아내가 있었는데 이혼하니 아무도 없군. 혼자 계시니 쓸쓸하시겠어요. 혼자 있으니 아무것도 하기 싫고 쓸쓸하기만 하네. 무력감을 이겨내기 위한 것이 있을까요? 새로운 사람을 만나러 다녀야겠어. 늙었지만 언제까지 혼자 있을 수는 없다고 생각하네.,일반
당황 생각지도 않은 아이가 생겨서 너무 당황스러워. 계획하지도 않은 아이가 생겨서 많이 당황스럽겠어요. 그래도 새 가족이 생긴 것을 축하드려요 생각지도 않았는데 잘 키울 수 있을까? 그럼요. 좋은 엄마가 되실 것 같아요.,일반
눈물이 나는 매일 상사한테 지적 당하고 일은 고되고. 정말 힘들어. 직장 다니시면서 많이 힘드신가 보네요. 스트레스를 풀 만한 일은 없으신가요? 잠깐 술에 취해 잊어도 또 생활이 반복이야. 어쩔 수 없이 직장에 나가야 하지. 반복되는 고된 일상에 많이 지치셨군요.,일반
환멸을 느끼는 나에겐 무뚝뚝한 딸이 남편에겐 살갑게 대해. 딸의 이중성이 소름 끼쳐. 딸이 남편에게만 살갑게 대해서 충격이셨겠어요. 딸을 이해하지 못하겠어. 내가 그 애한테 남편보다 못 해준 것도 없는데. 어떻게 하면 딸과의 관계를 개선할 수 있을까요? 딸과 진지하게 대화를 나눠보는 게 좋을 것 같아.,일반
충격 받은 몇 주전에 아들이 태어났는데 신체적으로 결함이 있어서 충격을 받았어. 태어난 아들이 신체적 결함이 있다니 많이 놀라셨겠어요. 처음에는 당황스럽고 가슴이 두근거려서 아이를 쳐다볼 수가 없었어. 아이의 상태를 보고 많이 당황하셨군요. 이 상황을 어떻게 극복하면 좋을까요? 많이 당황했지만 나의 아이기 때문에 잘 키워보려고해.,일반
기쁨 콜로라도주에 있는 대학 시절 친구가 결혼한다고 연락이 왔어. 반갑고 축하할 연락이 왔군요! 응. 근데 결혼식이 특별하더라고. 정말 특별한 결혼 소식을 전달받았군요! 예비부부 서로가 교인을 배우자로 원해서 소개해줬어.,일반
질투하는 몇 년 동안 고혈압약을 먹고 있는데 오늘 병원에 가보니 혈압이 떨어지지 않았다고 하네. 병원에서 좋지 않은 결과로 기분이 좋지 않으시는군요. 의사가 실력이 없는 거 같아. 혈압이 떨어지기 위해서는 어떻게 해야 할까요? 모르겠어! 일단 병원을 바꿔야겠어.,일반
고립된 병원에서 나오긴 했는데 방에 혼자 온종일 누워있으니까 너무 외롭고 심심해. 방에 혼자 누워있어서 외로우시군요. 할 것도 없고 이야기를 나눌 사람도 없어. 지금 상황에서 할 수 있는 건 무엇이 있을까요? 못 봤던 영화라도 보게 티브이를 놔달라고 할까 봐.,일반
눈물이 나는 수학 학원까지 다녔는데 이번에도 수학 시험을 망쳤어. 나는 정말 안 되나봐. 열심히 노력했는데도 점수가 좋지 않아 슬프시군요. 응. 왜 해도 안 되는 건지 모르겠어 정말. 해도 안 된다는 생각에 슬프시겠어요. 너무 속상해서 눈물이 날 지경이야.,일반
초조한 친구가 여자 친구랑 헤어진 후 나한테 힘들다는 이야기를 자주 해서 불안해. 친구가 이별 후 힘들다고 해 불안하시군요. 좀 더 자세히 말씀해 주시겠어요? 마음이 워낙 약한 친구라 이상한 생각이라도 하는 건 아닐까 걱정되는 것 같아. 친구의 마음이 약해서 걱정이시군요. 이럴 때는 친구와 어떻게 대화해야 도움이 될까요? 친구를 잘 돌봐주고 이야기를 잘 들어주면서 보살펴줘야겠어.,일반
안달하는 내일 중학교 입학하는 날인데 조금 걱정이 돼. 무슨 걱정을 하고 계신가요? 새 친구들이 날 따돌릴 것만 같아. 새로운 학교에서 친구들의 따돌림을 걱정하시는군요.,일반
당혹스러운 얼마 전에 건강검진을 했는데 의사가 바로 수술해야 한다고 해서 당황스러워. 갑자기 수술을 하라니 너무 당황스럽겠네요. 가족들에게 수술해야 한다고 말해야 하는데 걱정이야. 가족들이 놀랄까 봐 많이 걱정스럽겠네요. 걱정을 덜 수 있는 방법이 없을까요? 일단 아내에게만 알려야 할 것 같아.,일반
고립된 복학하니 아는 사람도 없고 다들 끼리끼리 수업도 듣고 밥도 먹고 그러는데 나는 늘 혼자야. 학교에 아는 사람이 없어 외로우신가 봐요. 친구를 찾을 곳은 어디일까요? 휴학하기 전에 축구와 댄스 동아리에서 활약했지. 너무 오랜만인데 다시 활동할 수 있을까? 이전에 동아리 활동을 활발하게 하셨다니 반가운 소식이네요. 너무 오랜만이라 조금 조심스러우신 것 같아요. 동아리에 가입했을 때도 처음엔 어색했지만 자주 활동하다 보니 금세 적응했던 것 같아.,일반
낙담한 아내가 분명 깨어날 거라고 믿었는데 어제 의사가 와서 마음의 준비를 하라더군. 의사한테 그런 말을 들었으니 힘드시겠어요. 병마랑 홀로 싸우고 있는 아내를 응원해주고 싶어. 아내 분에게 뭔가 도움이 될 수 있는 건 없을까요? 옆에서 끝까지 함께 있으면서 병간호 해야지.,일반
상처 반 친구들이랑 다 같이 찍은 사진이 있었는데 내 얼굴에만 낙서가 있었어. 속상하다. 친구들의 행동에 많이 속상하셨겠어요. 나한테 왜 그러는 걸까? 이런 상황이 너무 나를 힘들게 해. 예전에 같은 일이 있었을 때 어떻게 대처하셨나요? 이런 일은 처음이야. 뭘 해야 할지 모르겠어.,일반
두려운 같이 공부한 친구들은 계속해서 성적이 오르는데 나만 성적이 그대로야. 같이 공부한 친구들은 계속해서 성적이 오르는데 혼자만 성적이 안 올라 걱정이군요. 속상하겠어요. 왜 나만 안 오를까? 똑같이 공부했는데. 똑같이 공부해도 성적이 안 올라서 고민이군요. 그렇다면 더 많이 공부해 보는 건 어떤가요? 그래. 똑같이 해도 안 오르면 더 많이 공부하는 수밖에 없지.,일반
비통한 지난날보다 앞으로 살아갈 날이 더 많은 부부생활인데 계속 이렇게 살 거라고 생각하면 비통해. 무슨 일이 있었는데 그렇게 생각하게 되었나요? 아주 사소한 거로 다투고 말하지 않고 지내다 보니 슬퍼. 사소한 다툼으로 말도 안 하고 지내고 계셔서 그렇군요.,일반
짜증내는 요즘 취업이 안 되서 너무 짜증이 나. 내가 문제가 있는 것인지 모르겠어. 취업이 안 되서 자책하는 마음이 드시는군요. 응. 요즘 코로나 십구 때문에 사람들을 많이 안 뽑는 거 같아. 코로나 십구 때문에 취업이 많이 어려우시군요.,일반
조심스러운 새로운 동네로 이사를 오게 되었는데 분위기가 참 좋고 이웃 간 사이도 좋아 보여. 나도 이웃들과 친하게 지내고 싶어. 그렇지만 아직 어색하고 많이 조심스러워. 새로운 이웃들과 사이좋게 지내고 싶지만 조심스러우시군요. 그렇다면 이웃들과 친해지기 위해서는 어떠한 방법이 있을까요? 주변에 사시는 분들에게 떡을 돌릴까 생각했어. 그런데 먹는 것은 호불호가 갈리는 편이라서 떡 모양 수제 비누를 돌릴까 해. 주변 분들이 음식에 대한 호불호를 염려하여 떡 모양 수제 비누를 선물하려고 하시는군요. 비누라면 그다지 부담스러워하지도 않고 귀엽고 작은 쇼핑백에 담아 편지와 함께 문고리에 걸어둘 거야. 직접 인사해도 좋겠지만 사람이 없을 수도 있으니까.,일반
