index,class,conversation
19,일반,"현재 광고 캠페인의 효과는 어떤가요?
클릭률은 높은 편이지만 실제 구매 전환율은 낮습니다.
전환율을 높이려면 어떤 개선이 필요할까요?
광고 메시지를 더 간결하고 설득력 있게 수정해야 할 것 같습니다.
그럼 카피라이팅 팀과 협업해서 빠르게 수정합시다."
20,일반,"새로운 제품 라인 출시 일정은 어떻게 되고 있나요?
현재 개발이 80% 완료된 상태이며, 테스트 단계에 들어갈 예정입니다.
소비자 반응 테스트는 언제 진행하나요?
다음 달 초로 계획하고 있습니다. 그 결과에 따라 출시 시점을 조정할 예정입니다."
21,일반,"요즘 팀장님이 너무 까다롭게 구시는 것 같아.
무슨 일 있었어?
보고서 수정만 세 번째야. 도대체 뭘 원하는 건지 모르겠어.
팀장님 스타일이 완벽주의잖아. 조금만 더 신경 써봐.
알겠는데, 진짜 스트레스야...
그래도 네가 잘하니까 더 기대하시는 거야. 힘내자!"
22,일반,"나 요즘 이직 고민 중이야.
갑자기 왜? 지금 회사 괜찮지 않아?
괜찮긴 한데, 성장 가능성이 조금 부족한 것 같아서.
그럼 다른 회사 알아보고 있어?
응, 몇 군데 지원하려고 준비 중이야.
잘 생각했네. 좋은 기회가 있으면 도전해봐!"
23,일반,"요즘 맡은 프로젝트는 어때?
솔직히 재미있어. 내가 좋아하는 분야라서 그런가 봐.
다행이다! 흥미 있는 일 하면 시간도 금방 가지 않나?
맞아! 근데 일이 많아서 체력적으로는 좀 힘들어.
그래도 결과물 나오면 뿌듯할 거야. 힘내!"
24,일반,"다음 달에 결혼한다면서? 축하해!
고마워! 근데 준비할 게 너무 많아서 정신없어.
결혼식 장소는 정했어?
응, 호텔로 했어. 하객이 많을 것 같아서.
잘했네! 나중에 청첩장 꼭 줘."
25,일반,"너 집은 마련했어?
아직이야... 요즘 집값이 너무 비싸서 엄두가 안 나.
맞아, 나도 전세 알아보는 중인데 쉽지 않더라.
그치? 대출 조건도 까다롭고...
그래도 천천히 알아보면 좋은 기회가 있을 거야."
26,일반,"요즘 부장님이 자꾸 나한테만 일을 몰아주시는 것 같아.
왜 그런 것 같아?
글쎄... 내가 신입이라 그런 걸까?
그럴 수도 있어. 근데 그만큼 믿고 맡기시는 걸 수도 있잖아.
그런가? 긍정적으로 생각해볼게."
27,일반,"너 지난번에 이직 성공했다며? 어떻게 한 거야?
응, 링크드인 통해서 좋은 기회를 찾았어.
진짜? 나도 요즘 이직 고민 중인데 팁 좀 줄래?
네 경력을 잘 정리해서 어필할 부분을 강조하면 돼."
28,일반,"너 지금 하는 일 만족스러워?
응, 꽤 만족해. 내가 좋아하는 분야라서 그런가 봐.
부럽다... 난 요즘 조금 지루한 느낌이야.
그럼 새로운 프로젝트를 요청해보는 건 어때?"
29,일반,"결혼 준비하면서 제일 힘든 게 뭐야?
예산 맞추는 게 제일 어렵더라...
맞아, 결혼식 비용 진짜 많이 들지 않아?
응, 그래서 최대한 간소하게 하려고 해."
30,일반,"너 이번에 집 샀다면서? 대단하다!
응, 겨우 대출 받아서 샀어. 아직 실감 안 나.
요즘 집값 비싼데 어떻게 결정했어?
더 오르기 전에 사는 게 낫다고 생각했어."
31,일반,"자기소개 부탁드립니다.
안녕하세요. 저는 데이터 분석과 마케팅 전략 수립에 강점을 가진 김민수입니다.
마케팅 전략 수립에서 본인의 강점은 무엇인가요?
저는 데이터를 기반으로 소비자 행동을 분석하고, 이를 바탕으로 실행 가능한 전략을 도출하는 데 자신 있습니다.
최근에 진행한 프로젝트 중 가장 기억에 남는 것은 무엇인가요?
지난해 온라인 광고 캠페인을 기획해 매출을 150% 증가시킨 경험이 있습니다.
좋습니다. 우리 회사에서도 그런 역량을 발휘할 수 있을 것 같네요."
32,일반,"본인의 강점을 말씀해주시겠어요?
음... 저는 책임감이 강하고...
괜찮습니다. 천천히 말씀하셔도 됩니다.
아, 네. 저는 맡은 일을 끝까지 해내는 끈기가 강점입니다.
좋습니다. 약점은 무엇인가요?
약점은... 가끔 세부 사항에 너무 신경 쓰는 점입니다. 하지만 이를 개선하려고 노력 중입니다."
33,일반,"전공이 직무와 다소 거리가 있어 보이는데, 어떻게 극복하실 계획인가요?
맞습니다. 저는 문학을 전공했지만, 지난 2년간 IT 관련 자격증을 취득하며 실무 경험을 쌓았습니다.
그렇군요. IT 분야에서 어떤 프로젝트를 진행해보셨나요?
작년에 개인적으로 웹 개발 프로젝트를 진행하며 프론트엔드 작업을 맡았습니다.
좋은 자세네요. 학습 능력이 뛰어나신 것 같습니다.
감사합니다! 부족한 부분은 계속 배우며 채워나가겠습니다."
34,일반,"이전 회사에서 어떤 성과를 이루셨나요?
지난해에는 매출 목표를 120% 달성하며 팀 리더로 승진했습니다.
대단하네요! 그 과정에서 가장 어려웠던 점은 무엇인가요?
초반에 팀원 간의 의견 조율이 어려웠지만, 적극적인 소통으로 해결했습니다.
좋습니다. 우리 회사에서도 그런 리더십이 필요합니다.
네, 제 경험을 바탕으로 귀사에서도 좋은 성과를 내고 싶습니다."
35,일반,"우리 회사에 지원하게 된 이유는 무엇인가요?
귀사의 혁신적인 제품과 글로벌 시장 확장 전략에 감명받아 지원하게 되었습니다.
입사 후 가장 먼저 하고 싶은 일이 있다면요?
현재 시장 트렌드를 분석해 새로운 마케팅 캠페인 방향을 제안하고 싶습니다.
좋습니다. 본인의 강점이 이 직무에서 어떻게 발휘될 수 있을까요?
저는 데이터를 기반으로 한 의사결정 능력과 창의적인 아이디어로 귀사에 기여할 수 있다고 생각합니다."
36,일반,"입사 후 어떤 목표를 이루고 싶으신가요?
음... 저는 귀사의 해외 시장 진출 프로젝트에 참여하고 싶습니다.
긴장하지 마시고 편하게 말씀하세요.
네! 저는 영어와 중국어를 공부하며 해외 비즈니스 사례를 연구하고 있습니다.
좋습니다. 그런 열정이라면 좋은 성과를 낼 수 있을 겁니다."
37,일반,"본인의 약점을 말씀해주세요.
음... 약점이라... 가끔 세부 사항에 너무 집착하는 편입니다.
괜찮습니다. 그 약점을 어떻게 보완하려고 노력 중인가요?
팀원들과 소통하며 큰 그림을 보는 연습을 하고 있습니다.
좋아요. 약점을 보완하려는 자세가 중요합니다."
38,일반,"이전 직무와 현재 지원 직무가 다른데, 이유가 있나요?
네, 이전에는 영업직으로 일했지만, 데이터 분석 쪽으로 커리어를 전환하고 싶어서 공부 중입니다.
데이터 분석 관련 경험이 있으신가요?
최근 온라인 강의를 통해 SQL과 파이썬을 익히며 간단한 프로젝트를 진행했습니다.
좋은 자세네요. 학습 능력이 뛰어나신 것 같습니다."
39,일반,"마지막으로 궁금한 점 있으신가요?
네, 귀사의 교육 프로그램에 대해 더 알고 싶습니다.
저희는 신입사원을 위한 멘토링 프로그램과 직무별 워크숍을 운영하고 있습니다.
좋네요! 그런 프로그램 덕분에 빠르게 적응할 수 있을 것 같습니다."
40,일반,"관련 직무 경험이 없으신데, 어떻게 준비하셨나요?
직접적인 경험은 없지만, 관련 강의를 수강하며 기본 지식을 쌓았습니다.
그렇다면 이론 외에 실무를 배운 적은 없나요?
대학 시절 인턴십에서 보고서를 작성하며 실무 환경을 경험했습니다.
좋습니다. 배우려는 자세가 돋보이네요."
41,일반," 이번 주말에 직무 박람회 가볼 생각 있어?
 어, 나도 관심 있어. 거기서 뭐 볼 수 있는데?
 여러 회사들이 부스 열고 직무 설명도 해주고 상담도 해준대.
 오, 괜찮네. 혹시 사전 신청해야 하나?
 응, 홈페이지에서 미리 등록해야 돼. 내가 링크 보내줄게.
 고마워! 같이 가자."
42,일반," 직무 박람회 다녀왔어?
 응, 갔는데 생각보다 유익하더라.
 어떤 회사가 제일 좋았어?
 나는 IT 쪽 부스가 제일 흥미로웠어. 특히 데이터 분석 직무가 재밌어 보이더라.
 나도 데이터 분석 관심 있는데! 팁 좀 알려줘.
 상담받을 때 자기소개랑 질문 준비해 가면 좋아."
43,일반," 너 이번 방학에 인턴십 지원할 거야?
 응, 지금 몇 군데 알아보고 있어. 너는?
 나도 지원하려고 하는데 경쟁률이 엄청 높더라.
 맞아. 그래서 미리 자기소개서 준비하고 있어.
 그러면 우리 같이 준비할래? 서로 피드백 주면 좋잖아.
 좋아! 이번 주말에 만나서 하자."
44,일반," 너 그 인턴십 합격했다며? 축하해!
 고마워! 진짜 힘들었는데 결국 됐어.
 면접에서 뭐 물어봤어?
 주로 직무 관련 경험이랑 협업했던 사례 물어보더라.
 오, 나도 참고해야겠다. 언제 시작해?
 다음 달부터야. 긴장되지만 기대돼!"
45,일반," 너 학부 연구생으로 일한다면서? 어떤 거 해?
 교수님 프로젝트 도와주고 데이터 정리 같은 거 하고 있어.
 바쁘겠다. 근데 많이 배울 것 같아.
 맞아. 실험 설계부터 논문 쓰는 법까지 배우니까 좋아.
 나도 관심 있는데 어떻게 지원했어?
 교수님한테 메일로 지원 의사 밝혔어. 한번 해봐!"
46,일반," 학부 연구생 하면서 힘든 점은 없어?
 음, 시간 관리가 제일 어려워. 수업이랑 병행해야 하니까.
 그래도 경력 쌓는 데 도움 되겠지?
 당연하지. 나중에 대학원 갈 때 큰 장점이 될 거야.
 나도 고민 중인데 조언 좀 줄래?
 우선 관심 있는 분야부터 찾아보고 교수님께 연락해봐."
47,일반," 첫 출근 어땠어? 신입 사원 생활 괜찮아?
 긴장 많이 했는데 다들 친절해서 괜찮았어.
 어떤 업무 맡았어?
 처음엔 자료 정리랑 보고서 작성 같은 기본적인 일이야.
 그래도 배우는 게 많겠다. 힘들진 않아?
 아직은 괜찮아! 근데 적응하려면 시간이 좀 걸릴 것 같아."
48,일반," 드디어 취업 성공했다며? 축하해!
 고마워! 진짜 오래 걸렸는데 드디어 됐어.
 어디 회사야? 무슨 직무 맡게 돼?
 IT 회사고, 소프트웨어 개발 쪽이야.
 대단하다! 팁 좀 알려줘.
 꾸준히 준비하고 면접에서 솔직하게 말하는 게 중요해."
49,일반," 요즘 이직 고민 중이라며? 왜 그런 생각 들어?
 지금 회사에서 성장 가능성이 별로 없는 것 같아서.
 그럼 다른 회사 알아보고 있어?
 응, 몇 군데 지원해볼까 생각 중이야.
 그래도 신중히 결정해. 이직하면 또 적응해야 하잖아.
 맞아. 그래서 고민이 많아."
50,일반," 이직하려면 뭐부터 해야 할까?
 우선 네가 원하는 조건을 정리하는 게 중요해.
 예를 들면 연봉이나 복지 같은 거?
 맞아. 그리고 이력서랑 포트폴리오 업데이트도 필수야.
 알겠어. 그럼 천천히 준비해볼게.
 그래! 내가 도와줄 테니 언제든 말해."
51,일반,"너 이번에 제주도 다녀왔다며? 어땠어?
진짜 좋았어! 특히 우도에서 본 바다가 너무 예뻤어.
우도? 거기 배 타고 들어가는 곳이지?
응, 배로 15분 정도 가면 돼. 한적하고 풍경이 정말 멋졌어.
나도 다음에 꼭 가봐야겠다. 추천할 만한 곳 또 있어?
성산일출봉도 꼭 가봐! 일출이 정말 장관이야."
52,일반,"여행 갔다 왔다면서? 뭐 사왔어?
응, 현지에서 유명한 수제 초콜릿을 사왔어. 너도 하나 줄게.
진짜? 고마워! 근데 왜 초콜릿으로 골랐어?
그 지역에서만 파는 특별한 맛이라서 샀어. 포장도 예쁘더라.
좋다! 나중에 먹어보고 후기 남길게.
그래, 맛있게 먹어봐!"
53,일반,"이번에 해외여행 갔다 왔다며? 안전은 괜찮았어?
응, 생각보다 안전했는데 밤에는 조금 조심했어.
왜? 밤에 위험한 일이 있었어?
아니, 그냥 현지 사람들이 밤에는 혼자 다니지 말라고 하더라고.
그렇구나. 그래도 잘 다녀와서 다행이다.
응, 항상 조심하면서 다녔어."
54,일반,"여행지에서 문화 차이를 느낀 적 있어?
응, 일본 갔을 때 사람들이 줄 서는 게 정말 철저하더라.
아, 맞아. 지하철 탈 때도 줄 서서 기다리잖아.
응, 그게 너무 인상 깊었어. 우리나라랑은 좀 다르더라.
그래서 너도 줄 서는 거 잘 지켰겠네!
당연하지! 현지 문화를 존중해야지."
55,일반,"여행 갔다 와서 제일 맛있었던 음식은 뭐야?
스페인에서 먹은 파에야가 진짜 맛있었어!
파에야? 그거 해산물 들어간 밥 요리 맞지?
응, 새우랑 홍합이 듬뿍 들어가서 진짜 고소했어.
나도 스페인 가면 꼭 먹어봐야겠다.
꼭 먹어봐! 진짜 후회 안 할 거야."
56,일반,"이번 여행 일정은 어떻게 짰어?
주로 관광 명소 위주로 짰는데, 하루는 그냥 쉬는 날로 잡았어.
쉬는 날은 뭐 했는데?
호텔 수영장에서 놀고 근처 카페에서 여유롭게 시간을 보냈지.
좋다! 너무 바쁘게만 안 다니는 게 더 좋을 것 같아.
맞아. 쉬는 날이 있어서 더 즐겁게 여행할 수 있었어."
57,일반,"여행 갔다 온 사진 좀 보여줘!
여기 봐봐. 이건 바다 사진이고, 이건 내가 찍은 야경이야.
우와, 진짜 예쁘다! 사진 잘 찍었네.
고마워! 근데 실제로 보면 더 멋졌어.
그럼 다음엔 나랑 같이 가자!
좋아! 같이 가면 더 재미있을 것 같아."
58,일반,"여행 중에 쇼핑도 했어?
응, 현지 시장에서 전통 공예품을 샀어.
뭘 샀는데?
손으로 만든 도자기 컵이랑 작은 장식품들!
특별한 기념품이네. 가격은 어땠어?
생각보다 저렴했어. 흥정도 조금 했거든."
59,일반,"여행 중에는 주로 어떤 교통수단 이용했어?
대중교통을 많이 이용했는데, 지하철이 진짜 편했어.
현지 지하철 시스템은 어땠는데?
노선이 복잡하지 않고 안내도 잘 돼 있어서 금방 익숙해졌어.
우리나라랑 비교하면 어때?
비슷한 점도 많고, 조금 더 깨끗한 느낌이었어."
60,일반,"여행 갈 때 꼭 챙겨야 할 게 뭐라고 생각해?
나는 보조 배터리랑 멀티 어댑터가 필수라고 생각해.
멀티 어댑터? 왜 필요해?
국가마다 콘센트 모양이 달라서 충전하려면 꼭 필요하더라고.
맞네! 나중에 해외 갈 때 참고해야겠다."
61,일반,"저기요, 실례지만 강남역 가려면 어느 노선을 타야 하나요?
강남역이요? 여기서 2호선 타시면 돼요.
2호선이요? 어디로 가야 2호선을 탈 수 있나요?
여기 계단 내려가시면 바로 2호선 승강장이 나올 거예요.
고맙습니다. 요즘은 지하철 노선이 너무 복잡해서 헷갈리네요.
맞아요, 저도 처음엔 어려웠는데 금방 익숙해지실 거예요."
62,일반,"이 열차 종점이 어디인가요?
이번 열차는 종점이 인천역입니다.
그럼 인천역까지 가려면 얼마나 걸리나요?
대략 40분 정도 걸릴 거예요.
알겠습니다. 안내해주셔서 감사합니다.
천만에요. 안전하게 가세요!"
63,일반,"아니, 앞을 제대로 보고 운전하셔야죠!
제가 신호를 보고 멈췄는데 왜 뒤에서 박으셨어요?
신호가 빨간불로 바뀌는 걸 못 보셨잖아요!
그래도 브레이크를 밟았는데 미끄러졌다고요!
그럼 보험사 부르고 해결합시다. 여기서 싸워봤자 소용없잖아요.
좋아요. 보험사 부르고 경찰도 부르죠."
64,일반,"안녕하세요! 어떤 기름 넣어드릴까요?
가솔린으로 가득 채워주세요.
알겠습니다. 혹시 세차 서비스도 필요하신가요?
아니요, 오늘은 기름만 넣을게요.
네, 총 금액은 8만 원입니다.
카드로 결제할게요. 고맙습니다!"
65,일반,"안녕하세요, 서울역까지 표 한 장 주세요.
서울역이요? 일반석으로 드릴까요?
네, 일반석으로 주세요. 다음 열차는 몇 시 출발인가요?
다음 열차는 10분 후에 출발합니다.
좋아요. 그걸로 부탁드립니다.
네, 여기 표 드릴게요. 좋은 여행 되세요!"
66,일반,"혹시 이 버스가 강남역 가나요?
아니요, 이건 강남역 안 가고 시청 방향으로 갑니다.
그럼 강남역 가는 버스는 몇 번인가요?
341번 타시면 강남역으로 갈 수 있어요.
알려주셔서 감사합니다!
천만에요. 안전하게 가세요."
67,일반,"기사님, 서울역까지 얼마나 걸릴까요?
지금 시간대라면 약 30분 정도 걸릴 것 같아요.
길이 많이 막히나요?
조금 막히긴 하는데 우회도로로 가면 괜찮을 거예요.
좋아요, 그쪽으로 부탁드릴게요.
네, 안전하게 모셔다드리겠습니다."
68,일반,"안녕하세요! 자전거 빌리려고 하는데 어떻게 하면 되나요?
여기 키오스크에서 대여 신청하시면 돼요.
한 시간 빌리려면 얼마인가요?
한 시간에 3천 원입니다.
알겠습니다. 결제하고 바로 사용할게요!
네, 안전하게 이용하세요!"
69,일반,"왜 이렇게 차가 안 움직이지?
앞에서 도로 공사 중이라서 그런 것 같아.
얼마나 걸릴지 알 수 없나?
글쎄... 내비 보니까 한참 더 걸릴 것 같아.
우회도로로 빠지는 게 낫겠지?
응, 우회도로로 돌아가는 게 더 빠를 것 같아."
70,일반,"너 전동 킥보드 타봤어?
응, 지난주에 처음 타봤는데 생각보다 재미있더라!
어떻게 이용하는 거야?
앱으로 대여하고 QR코드 찍으면 바로 탈 수 있어.
좋다! 나도 한번 타봐야겠다."
71,일반,"비행기 타기 전에 안전 수칙 안내 받았어?
응, 승무원이 구명조끼 사용법이랑 산소 마스크 착용법을 알려줬어.
그거 꼭 알아둬야 하더라. 혹시 모르니까.
맞아. 특히 비상구 위치를 확인하는 게 중요하대.
나도 다음엔 더 신경 써서 들어야겠어.
응, 안전은 아무리 강조해도 지나치지 않지."
72,일반,"안녕하세요, 자동차 사고 접수하려고 합니다.
네, 사고 상황을 간단히 설명해주시겠어요?
신호 대기 중에 뒤에서 차가 박았어요.
알겠습니다. 상대방 보험사 정보는 가지고 계신가요?
네, 여기 있습니다. 사진도 찍어놨어요.
좋습니다. 빠르게 처리 도와드리겠습니다."
73,일반,"철길 건널목에서 운전할 때 뭐 조심해야 해?
일단 정지선에서 멈추고 좌우를 꼭 확인해야 해.
근데 열차가 올 때 경고등이 켜지잖아?
맞아. 경고등이나 소리가 들리면 절대 진입하면 안 돼.
알겠어. 항상 조심해서 운전해야겠다."
74,일반,"고속버스 탈 때 안전벨트 꼭 해야 한다던데?
응, 요즘은 단속도 강화돼서 안 하면 벌금 나와.
근데 뒷자리에서도 해야 해?
당연하지! 사고 나면 뒷자리도 위험하잖아.
맞아. 다음부터는 꼭 착용해야겠다."
75,일반,"너 블랙박스 설치했어?
응, 요즘 사고 많아서 필수더라.
그거 설치하면 비용 많이 들어?
아니, 요즘은 저렴한 제품도 많아서 괜찮아.
그럼 나도 이번에 설치해야겠다."
76,일반,"너 어제 신호 위반 단속 걸렸다며?
응, 카메라에 찍혔더라고...
헉, 벌금 얼마나 나왔어?
8만 원이래. 다음부터는 진짜 조심해야겠어.
그래, 교통 법규는 꼭 지켜야지."
77,일반,"자전거 탈 때 도로에서 탈 수 있어?
응, 근데 자전거 전용 도로가 있으면 거기로 가야 해.
그럼 일반 도로에서는 어떻게 해야 해?
차선을 따라가되 차량을 조심해야 해.
알겠어. 헬멧도 꼭 써야겠다."
78,일반,"고속도로에서 졸음운전하면 진짜 위험하지 않아?
엄청 위험하지! 졸리면 바로 휴게소로 가야 해.
근데 휴게소까지 멀면 어떡해?
그럴 땐 졸음쉼터를 이용하면 돼.
좋은 정보네! 다음엔 참고할게."
79,일반,"어린이 보호구역에서는 속도를 얼마나 줄여야 해?
시속 30km 이하로 줄여야 해.
근데 그 시간대가 정해져 있지 않아?
맞아, 보통 오전 8시부터 오후 8시까지야.
알겠어. 보호구역에서는 더 조심해야겠다."
80,일반,"비 오는 날 운전할 때 뭐 조심해야 해?
일단 속도를 줄이고 차간 거리를 넉넉히 둬야 해.
근데 빗물이 튀어서 시야가 잘 안 보이더라.
그럴 땐 와이퍼를 빨리 돌리고 전조등을 켜면 좋아.
알겠어. 빗길 사고는 진짜 위험하니까 더 주의할게."
81,일반," 이 지역에서 유명한 음식이 뭐예요?
 해산물 요리가 특히 유명해요. 특히 조개찜이 맛있어요.
 조개찜을 먹으려면 어디로 가야 하나요?
 시내에 있는 '바다의 집'이라는 식당을 추천드려요.
 예약이 필요한가요?
 네, 저녁 시간에는 미리 예약하시는 게 좋아요."
82,일반," 근처에 간단히 먹을 수 있는 길거리 음식이 있나요?
 네, 시장에 가시면 떡꼬치와 군밤 같은 간식거리가 많아요.
 시장은 어디에 있나요?
 여기서 5분 거리에 있습니다. 지도를 보여드릴게요.
 감사합니다! 꼭 가볼게요.
 즐거운 시간 보내세요!"
83,일반," 이 지역에서만 살 수 있는 기념품이 있나요?
 네, 전통 수공예품과 지역 꿀이 유명해요.
 어디에서 구매할 수 있나요?
 시내 전통시장이나 기념품 가게에서 구매하실 수 있어요.
 가격대는 어느 정도인가요?
 수공예품은 보통 15달러부터 시작하고 꿀은 한 병에 10달러 정도예요."
84,일반," 이 근처에서 전통 차를 살 수 있는 곳이 있나요?
 네, 전통 찻집에서 차와 다기 세트를 판매해요.
 추천해주실 만한 찻집이 있을까요?
 '향기로운 차'라는 가게가 인기 많아요.
 거기까지 어떻게 가나요?
 이 길을 따라 10분 정도 걸어가시면 됩니다."
85,일반," 오늘 날씨는 어떤가요?
 지금은 맑지만 오후에는 비가 올 가능성이 있어요.
 우산을 챙겨야겠네요. 기온은 어떤가요?
 낮에는 따뜻하지만 밤에는 쌀쌀할 예정이에요.
 감사합니다! 날씨 정보는 어디서 확인할 수 있나요?
 호텔 로비나 스마트폰 앱으로 확인하시면 돼요."
86,일반," 내일 날씨는 어떨까요?
 내일은 하루 종일 맑고 따뜻할 예정이에요.
 바람은 많이 불까요?
 아니요, 바람은 거의 없을 것 같아요. 여행하기 좋은 날씨입니다.
 감사합니다! 덕분에 안심하고 계획할 수 있겠어요.
 좋은 여행 되세요!"
87,일반," 체크인을 하려고 하는데요.
 성함과 예약 번호를 알려주시겠어요?
 제 이름은 이수진이고 예약 번호는 67890입니다.
 확인되었습니다. 방은 305호입니다. 여기에 키 카드가 있습니다.
 감사합니다. 혹시 무료 와이파이가 제공되나요?
 네, 방마다 와이파이가 제공됩니다. 비밀번호는 카드에 적혀 있어요."
88,일반," 체크아웃 시간을 연장할 수 있을까요?
 네, 추가 요금이 발생하며 오후 2시까지 연장 가능합니다.
 추가 요금은 얼마인가요?
 한 시간당 10달러입니다.
 그럼 오후 1시까지 연장 부탁드립니다.
 알겠습니다. 변경 처리해 드리겠습니다."
89,일반," 이 근처에 꼭 가봐야 할 관광지가 있나요?
 네, 여기서 가까운 '문화유적 공원'을 추천드려요.
 거기까지 어떻게 가면 되나요?
 버스를 타거나 택시를 이용하시면 편리해요.
 입장료는 얼마인가요?
 성인은 10달러이고 어린이는 무료입니다."
90,일반," 야경이 멋진 곳을 추천해 주실 수 있나요?
 '별빛 전망대'가 가장 유명해요. 밤에 정말 아름다워요.
 전망대까지 가려면 얼마나 걸리나요?
 차로 약 20분 정도 걸립니다. 셔틀버스도 운행 중이에요.
 셔틀버스는 몇 시까지 운행하나요?
 마지막 버스는 밤 11시에 출발합니다."
